link,capacity,internal
JASTEL_OTI_#3,100,False
JASTEL_OTI_#4,100,False
JASTEL_SFR_#1,100,False
JASTEL_SFR_#3,100,False
JASTEL_VERIZON_#1,100,False
JASTEL_VERIZON_#2,100,False
JASTEL_VERIZON_#3,100,False
JASTEL_VERIZON_#4,100,False
JASTEL_par-th2-pb3-nc5_#1,100,False
JASTEL_par-th2-pb3-nc5_#2,100,False
JASTEL_par-th2-pb3-nc5_#3,100,False
JASTEL_par-th2-pb3-nc5_#4,100,False
JASTEL_th2-1-n7_#1,100,False
JASTEL_th2-1-n7_#2,100,False
JASTEL_th2-1-n7_#3,100,False
JASTEL_th2-1-n7_#4,100,False
KPN_ams-5-n7_#1,100,False
KPN_ams-5-n7_#2,100,False
KPN_ams-5-n7_#3,100,False
KPN_fra-1-n7_#1,100,False
KPN_fra-1-n7_#2,100,False
KPN_fra-1-n7_#3,100,False
LBERTYGLBL_ams-5-n7_#1,100,False
LBERTYGLBL_ams-gsa1-pb1-8k_#1,100,False
LBERTYGLBL_lon-thw-pb1-nc5_#1,100,False
LBERTYGLBL_lon-thw-pb2-nc5_#1,100,False
LBERTYGLBL_lon-thw-pb3-nc5_#1,100,False
LBERTYGLBL_waw-wa1-pb1-nc5_#1,100,False
LBERTYGLBL_zrh-zh2-bb1-a72_#1,100,False
LEASEWEB_ams-5-n7_#1,100,False
LEASEWEB_ams-5-n7_#2,100,False
LEASEWEB_ams-5-n7_#3,100,False
LEASEWEB_ams-5-n7_#4,100,False
LEASEWEB_ams-ams9-pb1-ptx_#1,100,False
LEVEL3_VODAFONE_#1,100,False
LEVEL3_fra-5-n7_#1,100,False
LEVEL3_fra-fr5-pb5-nc5_#1,100,False
LEVEL3_gsw-1-n7_#1,100,False
LEVEL3_ldn-5-n7_#1,100,False
LEVEL3_lon-drch-pb1-nc5_#1,100,False
LEVEL3_lon-thw-pb2-nc5_#1,100,False
LEVEL3_par-gsw-pb2-nc5_#1,100,False
LEVEL3_par-th2-pb3-nc5_#1,100,False
LEVEL3_waw-wa1-pb1-nc5_#1,100,False
LILLIX_rbx-5-a72_#1,100,False
LINX-LON1_ldn-1-n7_#1,100,False
LINX-LON1_ldn-1-n7_#2,100,False
LINX-LON1_ldn-5-n7_#1,100,False
